nome_estabelecimento;codigo_estabelecimento;nome_especialidade;codigo_especialidade;data_agendamento;horario_agendamento;recursos_disponiveis_no_horario;agendamentos_confirmados_no_horario;taxa_media_falta_especifica_2023;taxa_media_falta_especifica_ultimas_4_semanas;taxa_media_falta_especifica_historico;taxa_media_falta_geral_2023;taxa_media_falta_geral_ultimas_4_semanas;taxa_media_falta_geral_historico;desvio_padrao_falta_especifica_2023;desvio_padrao_falta_especifica_ultimas_4_semanas;desvio_padrao_falta_especifica_historico;indice_elasticidade_agendamento;elasticidade_maior_igual_50_porcento;overbooking_conservador_sugerido_maior_que_zero;disponibilidade_ajustada_recursos;disponibilidade_maior_igual_overbooking_sugerido;sugestao_overbooking_conservador_2023;sugestao_overbooking_moderado_2023;sugestao_overbooking_super_moderado_2023;sugestao_overbooking_agressivo_2023;sugestao_overbooking_super_agressivo_2023;sugestao_overbooking_conservador_ultimas_4_semanas;sugestao_overbooking_moderado_ultimas_4_semanas;sugestao_overbooking_super_moderado_ultimas_4_semanas;sugestao_overbooking_agressivo_ultimas_4_semanas;sugestao_overbooking_super_agressivo_ultimas_4_semanas;sugestao_overbooking_conservador_historico;sugestao_overbooking_moderado_historico;sugestao_overbooking_super_moderado_historico;sugestao_overbooking_agressivo_historico;sugestao_overbooking_super_agressivo_historico;detalhe_probabilidade_falta_individual;resumo_faltas_esperadas_por_horario
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;8;1;1;0.36;0.51;0.24;0.284;0.386;0.288;0.27;0.2;0.21;0.875;True;False;0;True;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;577091(-1.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;9;1;1;0.34;0.48;0.29;0.284;0.386;0.288;0.12;0.11;0.17;0.5862068965517242;True;False;0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;577144(-1.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;10;1;1;0.32;0.61;0.36;0.284;0.386;0.288;0.07;0.21;0.15;0.4166666666666667;False;False;0;True;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;543029(0.9860);01/jan
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;11;1;1;0.33;0.46;0.3;0.284;0.386;0.288;0.18;0.09;0.15;0.5;True;False;0;True;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;577002(0.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;13;1;1;0.31;0.28;0.37;0.284;0.386;0.288;0.22;0.18;0.21;0.5675675675675675;True;False;0;True;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;573573(0.1500);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;14;1;1;0.38;0.48;0.34;0.284;0.386;0.288;0.14;0.22;0.2;0.5882352941176471;True;False;0;True;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;577812(-1.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;15;1;1;0.34;0.45;0.31;0.284;0.386;0.288;0.23;0.19;0.18;0.5806451612903225;True;False;0;True;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;534331(0.4200);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;29/07/2024;17;1;1;0.16;0.58;0.25;0.284;0.386;0.288;0.1;0.14;0.19;0.76;True;False;0;True;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;577093(-1.0000);0 / 1
Dental Campo Grande;34;Odonto - Periodontia;169;29/07/2024;16;0;0;0.34;0.52;0.32;0.284;0.386;0.288;0.1;0.25;0.18;0.5625;True;False;0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;- - -
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;8;0;0;0.36;0.51;0.24;0.284;0.386;0.288;0.27;0.2;0.21;0.875;True;False;0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;- - -
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;9;1;1;0.34;0.48;0.29;0.284;0.386;0.288;0.12;0.11;0.17;0.5862068965517242;True;False;0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;571431(0.0000);0 / 1
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;10;2;2;0.32;0.61;0.36;0.284;0.386;0.288;0.07;0.21;0.15;0.4166666666666667;False;False;0;False;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;0.0;0.0;1.0;1.0;573234(0.0040), 550740(0.9900);01/fev
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;11;2;2;0.33;0.46;0.3;0.284;0.386;0.288;0.18;0.09;0.15;0.5;True;False;0;True;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;570777(0.6140), 559052(0.6400);0 / 2
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;13;2;2;0.31;0.28;0.37;0.284;0.386;0.288;0.22;0.18;0.21;0.5675675675675675;True;True;0;False;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;574285(0.0020), 573199(0.0000);0 / 2
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;14;2;2;0.38;0.48;0.34;0.284;0.386;0.288;0.14;0.22;0.2;0.5882352941176471;True;False;0;True;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;573058(0.0020), 568047(0.5540);0 / 2
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;15;2;2;0.34;0.45;0.31;0.284;0.386;0.288;0.23;0.19;0.18;0.5806451612903225;True;False;0;True;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;569827(0.0100), 570514(0.0020);0 / 2
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;16;1;1;0.34;0.52;0.32;0.284;0.386;0.288;0.1;0.25;0.18;0.5625;True;False;0;True;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;572889(0.0000);0 / 1
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;17;1;1;0.16;0.58;0.25;0.284;0.386;0.288;0.1;0.14;0.19;0.76;True;False;0;True;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;566287(0.0080);0 / 1
Dental Campo Grande;34;Odonto - Prótese;170;29/07/2024;18;2;2;0.19;0.33;0.45;0.284;0.386;0.288;0.32;0.2;0.28;0.6222222222222222;True;True;0;False;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;2.0;568587(0.9960), 554540(0.1420);01/fev
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;9;2;2;0.29;0.53;0.3;0.284;0.386;0.288;0.14;0.12;0.19;0.6333333333333334;True;False;0;True;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;528498(0.5180), 577653(0.0020);0 / 2
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;10;5;5;0.27;0.42;0.27;0.284;0.386;0.288;0.04;0.17;0.14;0.5185185185185185;True;True;0;False;1.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;3.0;3.0;1.0;1.0;1.0;2.0;2.0;540587(0.0000), 576486(-1.0000), 527685(0.6200), 577011(-1.0000), 573609(0.1440);0 / 5
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;11;3;3;0.4;0.38;0.24;0.284;0.386;0.288;0.2;0.11;0.18;0.75;True;False;0;True;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;1.0;533687(0.5200), 545657(0.6340), 539552(0.5760);0 / 3
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;13;3;3;0.23;0.37;0.28;0.284;0.386;0.288;0.18;0.22;0.15;0.5357142857142857;True;True;0;False;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;1.0;548619(0.0020), 576975(-1.0000), 569289(-1.0000);0 / 3
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;14;4;4;0.17;0.43;0.26;0.284;0.386;0.288;0.29;0.12;0.19;0.7307692307692307;True;True;0;False;0.0;0.0;1.0;2.0;2.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;574160(0.0040), 576654(-1.0000), 577094(-1.0000), 576921(-1.0000);0 / 4
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;15;2;2;0.3;0.47;0.24;0.284;0.386;0.288;0.06;0.1;0.2;0.8333333333333334;True;False;0;True;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;571789(0.9980), 566667(0.0020);01/fev
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;16;2;2;0.29;0.42;0.28;0.284;0.386;0.288;0.18;0.21;0.21;0.7499999999999999;True;False;0;True;0.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;574023(0.5680), 576942(-1.0000);0 / 2
Dental Campo Grande;34;Odonto - Odontopediatria;166;30/07/2024;17;3;3;0.52;0.41;0.35;0.284;0.386;0.288;0.04;0.25;0.17;0.48571428571428577;False;False;0;False;2.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;574024(0.5520), 576402(-1.0000), 578369(-1.0000);0 / 3
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;8;8;5;0.41;0.42;0.33;0.284;0.386;0.288;0.15;0.28;0.19;0.5757575757575757;True;True;3;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;563316(0.0040), 576392(0.0040), 578198(-1.0000), 543934(0.1560), 554551(0.0020);0 / 5
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;9;14;11;0.29;0.53;0.3;0.284;0.386;0.288;0.14;0.12;0.19;0.6333333333333334;True;True;3;True;0.0;0.0;1.0;2.0;2.0;3.0;2.0;3.0;4.0;4.0;0.0;0.0;1.0;2.0;3.0;574261(0.0060), 577215(-1.0000), 573608(0.0020), 561736(0.0040), 550124(0.0020), 569582(0.6080), 552308(0.3080), 536385(0.1440), 567523(0.0040), 559091(0.5080), 538356(0.6960);01/nov
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;10;11;8;0.27;0.42;0.27;0.284;0.386;0.288;0.04;0.17;0.14;0.5185185185185185;True;True;3;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;566911(0.9980), 571871(0.1460), 574262(0.0060), 528391(0.3060), 552495(0.0020), 573467(0.0040), 547165(0.9840), 569582(0.5960);02/ago
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;11;12;9;0.4;0.38;0.24;0.284;0.386;0.288;0.2;0.11;0.18;0.75;True;True;3;True;0.0;0.0;2.0;2.0;3.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;567518(0.5000), 545657(0.6160), 574986(0.5240), 562255(0.0100), 577419(-1.0000), 578283(-1.0000), 532176(-1.0000), 533129(0.4620), 570240(0.9920);01/set
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;13;11;8;0.23;0.37;0.28;0.284;0.386;0.288;0.18;0.22;0.15;0.5357142857142857;True;True;3;True;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;1.0;567227(0.5580), 576639(-1.0000), 573133(0.0040), 561278(0.9860), 572957(0.9940), 557439(0.0020), 577265(-1.0000), 551023(0.5260);02/ago
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;14;12;9;0.17;0.43;0.26;0.284;0.386;0.288;0.29;0.12;0.19;0.7307692307692307;True;True;3;True;0.0;0.0;0.0;1.0;2.0;1.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;532370(0.4360), 552565(0.3800), 555129(0.9840), 574627(1.0000), 576808(0.0020), 532370(0.4620), 542610(0.1940), 574625(1.0000), 552468(0.0100);03/set
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;15;12;9;0.3;0.47;0.24;0.284;0.386;0.288;0.06;0.1;0.2;0.8333333333333334;True;True;3;True;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;527259(0.3240), 560623(0.0060), 565141(0.0040), 558186(0.0040), 574325(0.0040), 578343(-1.0000), 578326(-1.0000), 576182(0.5120), 563941(0.9980);01/set
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;16;10;7;0.29;0.42;0.28;0.284;0.386;0.288;0.18;0.21;0.21;0.7499999999999999;True;True;3;True;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;1.0;578346(-1.0000), 574325(0.0040), 559582(0.0040), 574982(1.0000), 543323(0.7820), 573571(0.0060), 560293(0.4580);02/jul
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;17;8;5;0.52;0.41;0.35;0.284;0.386;0.288;0.04;0.25;0.17;0.48571428571428577;False;False;3;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;577055(-1.0000), 577117(-1.0000), 578368(-1.0000), 575510(0.0040), 542611(0.2240);0 / 5
Dental Campo Grande;34;Odonto - Clínica geral;159;30/07/2024;18;5;2;0.31;0.67;0.38;0.284;0.386;0.288;0.41;0.27;0.35;0.9210526315789473;True;False;3;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;575016(0.9980), 578370(-1.0000);01/fev
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;8;3;3;0.41;0.42;0.33;0.284;0.386;0.288;0.15;0.28;0.19;0.5757575757575757;True;True;0;False;1.0;1.0;1.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;1.0;0.0;1.0;2.0;2.0;538799(0.3440), 573461(0.0000), 576240(0.0040);0 / 3
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;9;1;1;0.29;0.53;0.3;0.284;0.386;0.288;0.14;0.12;0.19;0.6333333333333334;True;False;0;True;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;566911(0.9840);01/jan
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;10;3;3;0.27;0.42;0.27;0.284;0.386;0.288;0.04;0.17;0.14;0.5185185185185185;True;True;0;False;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;1.0;540587(0.0020), 528171(0.4000), 573462(0.0000);0 / 3
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;11;2;2;0.4;0.38;0.24;0.284;0.386;0.288;0.2;0.11;0.18;0.75;True;False;0;True;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;558689(0.6620), 558689(0.6380);01/fev
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;13;5;5;0.23;0.37;0.28;0.284;0.386;0.288;0.18;0.22;0.15;0.5357142857142857;True;True;0;False;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;3.0;3.0;1.0;1.0;2.0;2.0;2.0;561747(0.5820), 573414(0.9980), 556549(0.0060), 552835(0.3680), 532370(0.5120);01/mai
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;14;3;3;0.17;0.43;0.26;0.284;0.386;0.288;0.29;0.12;0.19;0.7307692307692307;True;False;0;True;0.0;0.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;0.0;0.0;1.0;1.0;1.0;553269(0.4660), 566157(0.0000), 565432(0.1420);0 / 3
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;15;2;2;0.3;0.47;0.24;0.284;0.386;0.288;0.06;0.1;0.2;0.8333333333333334;True;False;0;True;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;542609(0.2780), 574160(0.0060);0 / 2
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;16;4;4;0.29;0.42;0.28;0.284;0.386;0.288;0.18;0.21;0.21;0.7499999999999999;True;True;0;False;1.0;1.0;1.0;2.0;2.0;1.0;1.0;2.0;3.0;3.0;1.0;1.0;1.0;2.0;2.0;559582(0.0020), 541245(0.2700), 572732(0.0000), 527996(0.3320);0 / 4
Dental Campo Grande;34;Odonto - Ortodontia;163;30/07/2024;17;1;1;0.52;0.41;0.35;0.284;0.386;0.288;0.04;0.25;0.17;0.48571428571428577;False;False;0;True;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;566160(0.0040);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;8;1;1;0.41;0.42;0.33;0.284;0.386;0.288;0.15;0.28;0.19;0.5757575757575757;True;False;0;True;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;574819(0.0020);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;9;2;2;0.29;0.53;0.3;0.284;0.386;0.288;0.14;0.12;0.19;0.6333333333333334;True;False;0;True;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;548965(0.0020), 576392(0.0020);0 / 2
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;10;1;1;0.27;0.42;0.27;0.284;0.386;0.288;0.04;0.17;0.14;0.5185185185185185;True;False;0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;566400(0.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;11;1;1;0.4;0.38;0.24;0.284;0.386;0.288;0.2;0.11;0.18;0.75;True;False;0;True;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;569582(0.5960);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;13;1;1;0.23;0.37;0.28;0.284;0.386;0.288;0.18;0.22;0.15;0.5357142857142857;True;False;0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;577239(-1.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;14;1;1;0.17;0.43;0.26;0.284;0.386;0.288;0.29;0.12;0.19;0.7307692307692307;True;False;0;True;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;575205(0.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;15;1;1;0.3;0.47;0.24;0.284;0.386;0.288;0.06;0.1;0.2;0.8333333333333334;True;False;0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;571885(0.0080);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;16;1;1;0.29;0.42;0.28;0.284;0.386;0.288;0.18;0.21;0.21;0.7499999999999999;True;False;0;True;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;577829(-1.0000);0 / 1
Dental Campo Grande;34;Odonto - Endodontia;168;30/07/2024;17;1;1;0.52;0.41;0.35;0.284;0.386;0.288;0.04;0.25;0.17;0.48571428571428577;False;False;0;True;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;568091(0.1440);0 / 1
Dental Campo Grande;34;Odonto - Cirurgia;167;30/07/2024;9;3;3;0.29;0.53;0.3;0.284;0.386;0.288;0.14;0.12;0.19;0.6333333333333334;True;True;0;False;1.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0;2.0;1.0;0.0;1.0;1.0;2.0;544148(0.0160), 562255(0.0140), 564429(0.5260);0 / 3
